order_id,date_id,price_inr,rating,rating_count,location_id,restaurant_id,category_id,dish_id,date_id,full_date,year,month,month_name,quarter,day,week,location_id,state,city,location,restaurant_id,restaurant_name,category_id,category,dish_id,dish_name
294,133,47.00,4.00,3,1,7,2,270,133,2025-05-17,2025,5,May,2,17,19,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,270,"Butter Roti"
295,132,269.00,4.00,0,5,6,2,271,132,2025-04-02,2025,4,April,2,2,13,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,271,"Veg Chinese Hakka Noodles - Half (500 ml)."
297,153,269.00,4.00,0,5,6,2,273,153,2025-04-08,2025,4,April,2,8,14,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,273,"Veg Chilli Garlic Noodles - Half (500 ml)."
298,30,269.00,4.00,105,5,6,2,274,30,2025-02-16,2025,2,February,1,16,7,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,274,"Veg Schezwan Noodles - Half (500 ml)."
300,123,309.00,4.00,0,5,6,2,276,123,2025-02-01,2025,2,February,1,1,4,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,276,"Chicken Fried Rice - Half (500 ml)."
301,30,270.00,4.00,19,1,7,2,277,30,2025-02-16,2025,2,February,1,16,7,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,277,"Thalassery Chicken Dum Biryani [Serves 1]"
302,11,309.00,5.00,80,5,6,2,278,11,2025-08-03,2025,8,August,3,3,31,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,278,"Chicken Hakka Noodles - Half (500 ml)."
303,154,299.00,4.00,2,1,7,2,279,154,2025-06-14,2025,6,June,2,14,23,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,279,"Leaf Chicken Dum Biryani"
304,77,195.00,4.00,0,1,7,2,280,77,2025-08-13,2025,8,August,3,13,32,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,280,"Chana Masala"
305,105,309.00,4.00,0,5,6,2,281,105,2025-07-10,2025,7,July,3,10,27,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,281,"Chicken Chilli Garlic Noodles - Half (500 ml)."
307,55,260.00,4.00,12,1,7,2,283,55,2025-02-20,2025,2,February,1,20,7,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,283,"Thalassery Chicken Curry "
309,116,260.00,4.00,0,1,7,2,285,116,2025-08-22,2025,8,August,3,22,33,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,285,"Nadan Chicken Curry "
312,84,375.00,4.00,0,1,7,2,288,84,2025-06-21,2025,6,June,2,21,24,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,288,"Mutton Rogan Josh"
313,19,315.00,4.00,1,1,7,2,289,19,2025-06-01,2025,6,June,2,1,22,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,289,"Chicken Kondattam"
315,156,245.00,5.00,15,1,7,2,291,156,2025-07-26,2025,7,July,3,26,29,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,291,"Chicken Noodles"
317,42,120.00,4.00,177,1,8,2,292,42,2025-02-28,2025,2,February,1,28,8,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,292,"Biryani rice"
319,157,299.00,4.00,54,1,8,2,293,157,2025-04-28,2025,4,April,2,28,17,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,293,"Mutton biryani"
322,99,170.00,4.00,102,1,8,2,295,99,2025-06-09,2025,6,June,2,9,23,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,295,"Chicken kebab"
324,32,190.00,5.00,34,1,8,2,296,32,2025-04-06,2025,4,April,2,6,14,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,296,"Chicken masala"
362,161,190.00,4.00,67,1,8,2,320,161,2025-08-04,2025,8,August,3,4,31,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,320,"Chicken fry"
366,92,35.00,4.00,26,1,8,2,323,92,2025-08-21,2025,8,August,3,21,33,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,323,"Raggi ball"
369,1,290.00,4.00,19,1,8,2,325,1,2025-06-29,2025,6,June,2,29,26,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,325,"Mutton fry"
372,141,290.00,4.00,7,1,8,2,327,141,2025-04-23,2025,4,April,2,23,16,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",8,"Appu Donne Biriyani Palace",2,Recommended,327,"Mutton chops"
378,68,169.00,4.00,63,6,9,2,332,68,2025-01-08,2025,1,January,1,8,1,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,332,Margherita
381,23,259.00,4.00,58,6,9,2,334,23,2025-02-22,2025,2,February,1,22,7,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,334,"Veggie Feast"
384,30,319.00,4.00,69,6,9,2,336,30,2025-02-16,2025,2,February,1,16,7,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,336,"Tandoori Paneer"
386,25,319.00,4.00,22,6,9,2,337,25,2025-08-24,2025,8,August,3,24,34,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,337,"Country Feast"
388,57,379.00,4.00,79,6,9,2,338,57,2025-04-18,2025,4,April,2,18,15,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,338,"Veggie Supreme"
390,166,259.00,5.00,15,6,9,2,339,166,2025-01-05,2025,1,January,1,5,1,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,339,"Chicken Sausage"
393,8,379.00,5.00,7,6,9,2,341,8,2025-04-13,2025,4,April,2,13,15,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,341,"Murg Malai Chicken"
396,168,409.00,4.00,8,6,9,2,343,168,2025-07-15,2025,7,July,3,15,28,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,343,"Chicken Supreme"
398,90,409.00,5.00,12,6,9,2,344,90,2025-01-06,2025,1,January,1,6,1,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,344,"Triple Chicken Feast"
399,169,109.00,4.00,199,6,9,2,345,169,2025-04-19,2025,4,April,2,19,15,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,345,"Classic Onion Capsicum"
400,170,169.00,4.00,16,6,9,2,346,170,2025-08-12,2025,8,August,3,12,32,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,346,"Cheesy Spicy Delight"
402,104,189.00,4.00,39,6,9,2,348,104,2025-04-26,2025,4,April,2,26,16,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,348,"Chilli Paneer Sizzle"
403,171,159.00,4.00,3,6,9,2,349,171,2025-04-04,2025,4,April,2,4,13,6,Karnataka,Bengaluru,"Kanakapura Road",9,"Pizza Hut",2,Recommended,349,"Classic Chicken Pepperoni & Onion"
