state,city,restaurant_name,location,category,dish_name,price_inr,rating,rating_count,order_date,id
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Mutter Masala",208.00,4,0,2025-08-24,41
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Gobi Masla",195.00,4,0,2025-03-30,42
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Dal Palak",195.00,2,9,2025-02-18,43
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Plain Palak",195.00,4,0,2025-08-07,44
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Dal Fry",182.00,4,68,2025-02-28,45
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Dal Punjabi",195.00,3,16,2025-06-19,46
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Aloo Gobi Masala",195.00,4,19,2025-08-08,47
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Gravy","Aloo Jeera Dry",169.00,4,0,2025-07-07,48
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Veg Biriyani",195.00,4,22,2025-07-27,49
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Fresh Fruit Milkshakes","Muskmelon   ",117.00,4,0,2025-08-29,50
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar",Recommended,"Biriyani Rice",90.00,4,6,2025-08-28,51
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Dal Kichdi",221.00,5,18,2025-01-15,52
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Fresh Fruit Milkshakes","Apple   ",117.00,4,0,2025-02-21,53
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Mughlai Biriyani",247.00,5,9,2025-07-09,54
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Palak Rice",221.00,5,27,2025-07-09,55
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Veg Handi Biriyani",247.00,4,0,2025-06-24,56
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Mushroom Biriyani",247.00,5,6,2025-07-09,57
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Kabab",239.00,4,0,2025-05-24,58
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Fresh Fruit Milkshakes","Banana   ",117.00,4,0,2025-04-06,59
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Ghee Roast",249.00,4,0,2025-04-07,60
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Raitha,"Mix Raitha",130.00,4,0,2025-05-12,61
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Raitha,"Boondi Raitha",130.00,4,0,2025-08-10,62
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Hyderabadhi Biriyani",247.00,5,3,2025-02-20,63
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chicken Pepper Dry",239.00,4,0,2025-07-20,64
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Kashmiri Biriyani ( Sweet Rice)",260.00,4,0,2025-04-18,65
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Veg Pulav",195.00,4,2,2025-02-24,66
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Palak Kichdi",221.00,4,0,2025-03-05,67
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Peas Biriyani",208.00,4,0,2025-05-11,68
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Raitha,"Aloo Raitha",130.00,4,0,2025-08-17,69
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Peas Pulav",195.00,4,0,2025-08-17,70
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"North Indian Rice","Basmathi Rice",130.00,4,0,2025-02-20,71
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Manchurian & Chilly","Panneer Manchurian",247.00,4,0,2025-05-15,72
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Manchurian & Chilly","Panner Pepper Dry",260.00,5,3,2025-01-21,73
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Manchurian & Chilly","Gobi Chilly",195.00,4,5,2025-03-14,74
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Manchurian & Chilly","Paneer Chilly",260.00,4,4,2025-06-16,75
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Pepper Dry",440.00,4,0,2025-05-04,76
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Manchurian & Chilly","Panner 65",260.00,4,0,2025-01-18,77
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","French Chicken",239.00,4,0,2025-07-06,78
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Maharaja",440.00,4,0,2025-02-16,79
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Prawns Chilly",440.00,4,0,2025-07-27,80
Karnataka,Bengaluru,"Swadh Restaurant","Kanmanike Village","Breakfast Combos","Egg Dosa",99.00,4,0,2025-02-20,81
Karnataka,Bengaluru,"Swadh Restaurant","Kanmanike Village","Breakfast Combos","Egg Appam",35.00,4,0,2025-07-01,82
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Mutton Chilly",440.00,4,0,2025-04-03,83
Karnataka,Bengaluru,"Swadh Restaurant","Kanmanike Village","Breakfast Combos","Kerala Masala Dosa",110.00,4,0,2025-01-08,84
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spicy potato chips [500 gms]",245.00,4,0,2025-01-27,85
Karnataka,Bengaluru,"Nisarga Family Daba","Rajarajeshwari Nagar","Non Veg Starter","Chilly Chicken",239.00,4,0,2025-01-03,86
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Raitha,"Cucumber Raitha",117.00,4,0,2025-05-31,87
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,Raitha,"Pineapple Raitha",130.00,4,0,2025-08-19,88
Karnataka,Bengaluru,"Srinidhi Sagar Deluxe",Kengeri,"Salad & Papad","Masala Papad",91.00,5,36,2025-08-25,89
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spicy potato chips [250 gms]",95.00,4,0,2025-01-27,90
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Masala peanuts",85.00,4,0,2025-08-14,91
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Ribban pakoda [250 gms]",95.00,4,0,2025-01-21,92
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Combo for all boties wheel, onion, garlic, triangle, yellow boti",50.00,4,0,2025-01-30,93
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Jackfruit chips",70.00,4,0,2025-04-07,94
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted popcorn medium size",30.00,4,0,2025-01-28,95
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Palak chakli 15 pcs",45.00,4,0,2025-04-21,96
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Spicy chakli 24 pcs",85.00,4,0,2025-07-11,97
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Kara pori (spicy mure mure)",45.00,4,0,2025-08-13,98
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Triangle boti [100 gms]",50.00,4,0,2025-07-16,99
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Potato spring chips (sabudana) 70 gm",35.00,4,0,2025-02-16,100
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Tomato chips [100 gms]",50.00,4,0,2025-02-17,101
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Sweet boti",65.00,4,0,2025-05-27,102
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Mixed potato chips [250 gms]",160.00,4,0,2025-01-04,103
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Salted peanuts",85.00,4,0,2025-02-04,104
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Rice butter murukku salted [200 gms]",85.00,4,0,2025-07-11,105
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Congress peanuts 200 gms",85.00,4,0,2025-02-18,106
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Garlic chips [100 gms]",50.00,4,0,2025-01-17,107
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Onion chips [100 gms]",50.00,4,0,2025-06-21,108
Karnataka,Bengaluru,"Sri Vinayaka Hot Chips",Bidadi,Snacks,"Wheel chips [100 gms]",50.00,4,0,2025-08-08,109
